1,420,  PENDIDIKAN,  PENDIDIKAN
2,420.1,  Pendidikan Khusus Klasifikasi disini Pendidikan Putra/I Irja,  Pendidikan Khusus Klasifikasi disini Pendidikan Putra/I Irja
3,421,  Sekolah,  Sekolah
4,421.1,  Pra Sekolah,  Pra Sekolah
5,421.2,  Sekolah Dasar,  Sekolah Dasar
6,421.3,  Sekolah Menengah,  Sekolah Menengah
7,421.4,  Sekolah Tinggi,  Sekolah Tinggi
8,421.5,  Sekolah Kejuruan,  Sekolah Kejuruan
9,421.6,"  Kegiatan Sekolah, Dies Natalis Lustrum","  Kegiatan Sekolah, Dies Natalis Lustrum"
10,421.7,  Kegiatan Pelajar,  Kegiatan Pelajar
11,421.71,  Reuni Darmawisata,  Reuni Darmawisata
12,421.72,  Pelajar Teladan,  Pelajar Teladan
13,421.73,  Resimen Mahasiswa,  Resimen Mahasiswa
14,421.8,  Sekolah Pendidikan Luar Biasa,  Sekolah Pendidikan Luar Biasa
15,421.9,  PLS / Pemberantasan Buta Huruf,  PLS / Pemberantasan Buta Huruf
16,422,  Administrasi Sekolah,  Administrasi Sekolah
17,422.1,"  Persyaratan Masuk Sekolah, Testing, Ujian,Pendaftaran, Mapras","  Persyaratan Masuk Sekolah, Testing, Ujian,Pendaftaran, Mapras"
18,422.2,  Tahun Pelajaran,  Tahun Pelajaran
19,422.3,  Hari Libur,  Hari Libur
20,422.4,"  Uang Sekolah, Klasifikasi Disini SPP","  Uang Sekolah, Klasifikasi Disini SPP"
21,422.5,  Beasiswa,  Beasiswa
22,423,  Metode Belajar,  Metode Belajar
23,423.1,  Kuliah,  Kuliah
24,423.2,"  Ceramah, Simposium","  Ceramah, Simposium"
25,423.3,  Diskusi,  Diskusi
26,423.4,"  Kuliah Lapangan, Widyawisata, KKN, Studi Tur","  Kuliah Lapangan, Widyawisata, KKN, Studi Tur"
27,423.5,  Kurikulum,  Kurikulum
28,423.6,  Karya Tulis,  Karya Tulis
29,423.7,  Ujian,  Ujian
30,424,"  Tenaga Pengajar, Guru, Dosen, Dekan, Rektor","  Tenaga Pengajar, Guru, Dosen, Dekan, Rektor"
31,425,  Sarana Pendidikan,  Sarana Pendidikan
32,425.1,  Gedung,  Gedung
33,425.11,  Gedung Sekolah,  Gedung Sekolah
34,425.12,  Kampus,  Kampus
35,425.13,  Pusat Kegiatan Mahasiswa,  Pusat Kegiatan Mahasiswa
36,425.2,  Buku,  Buku
37,425.3,  Perlengkapan Sekolah,  Perlengkapan Sekolah
38,426,  Keolahragaan,  Keolahragaan
39,426.1,  Cabang Olah Raga,  Cabang Olah Raga
40,426.2,  Sarana,  Sarana
41,426.21,  Gedung Olah Raga,  Gedung Olah Raga
42,426.22,  Stadion,  Stadion
43,426.23,  Lapangan,  Lapangan
44,426.24,  Kolam renang,  Kolam renang
45,426.3,"  Pesta Olah Raga, Klasifikasi nya: PON, Porsade, Olimpiade,","  Pesta Olah Raga, Klasifikasi nya: PON, Porsade, Olimpiade,"
46,426.4,  KONI,  KONI
47,427,  Kepramukaan Meliputi: Organisasi dan Kegiatan Remaja,  Kepramukaan Meliputi: Organisasi dan Kegiatan Remaja
48,428,  Kepramukaan,  Kepramukaan
49,429,  Pendidikan  Kedinasan Untuk Depdagri,  Pendidikan  Kedinasan Untuk Depdagri
